{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 4, 14, 16), 'price': 0.07206, 'size': 1000, 'value': 1001.4399999999999, 'cash_remaining': 1001.4399999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 4, 14, 38), 'price': 0.07226, 'size': 1000, 'value': 1001.6399999999999, 'cash_remaining': 929.3799999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 4, 15, 9), 'price': 0.07177, 'size': 1000, 'value': 1001.6299999999999, 'cash_remaining': 1001.6299999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 4, 15, 46), 'price': 0.07227, 'size': 1000, 'value': 1002.1399999999999, 'cash_remaining': 929.8699999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 4, 16, 47), 'price': 0.07223, 'size': 1000, 'value': 1002.1499999999999, 'cash_remaining': 1002.1499999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 4, 17, 27), 'price': 0.07246, 'size': 1000, 'value': 1002.3699999999999, 'cash_remaining': 929.9099999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 4, 18, 2), 'price': 0.07249, 'size': 1000, 'value': 1002.3599999999999, 'cash_remaining': 1002.3599999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 4, 18, 39), 'price': 0.07279, 'size': 1000, 'value': 1002.6599999999999, 'cash_remaining': 929.8699999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 4, 19, 4), 'price': 0.07239, 'size': 1000, 'value': 1002.6699999999998, 'cash_remaining': 1002.6699999999998}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 4, 21, 21), 'price': 0.07215, 'size': 1000, 'value': 1002.4399999999998, 'cash_remaining': 930.2899999999998}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 5, 0, 48), 'price': 0.07323, 'size': 1000, 'value': 1002.4299999999998, 'cash_remaining': 1002.4299999999998}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 5, 2, 56), 'price': 0.07315, 'size': 1000, 'value': 1002.3699999999998, 'cash_remaining': 929.2199999999998}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 5, 3, 46), 'price': 0.07287, 'size': 1000, 'value': 1002.3599999999998, 'cash_remaining': 1002.3599999999998}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 5, 4, 14), 'price': 0.0732, 'size': 1000, 'value': 1002.6899999999998, 'cash_remaining': 929.4899999999998}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 5, 6, 37), 'price': 0.07405, 'size': 1000, 'value': 1002.6799999999998, 'cash_remaining': 1002.6799999999998}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 5, 10, 17), 'price': 0.07323, 'size': 1000, 'value': 1001.8599999999999, 'cash_remaining': 928.6299999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 5, 12, 16), 'price': 0.07321, 'size': 1000, 'value': 1001.8699999999999, 'cash_remaining': 1001.8699999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 5, 14, 20), 'price': 0.07287, 'size': 1000, 'value': 1001.5199999999999, 'cash_remaining': 928.6499999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 5, 14, 39), 'price': 0.07258, 'size': 1000, 'value': 1001.5099999999999, 'cash_remaining': 1001.5099999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 5, 17, 17), 'price': 0.07233, 'size': 1000, 'value': 1001.2699999999999, 'cash_remaining': 928.9399999999998}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 5, 20, 23), 'price': 0.07257, 'size': 1000, 'value': 1001.2699999999999, 'cash_remaining': 1001.2699999999999}
